ID,Kamtapuri Sentence,English Hint,Masked Prompt,Target (Kamta),Target (Bengali)
B1,সাকালে জাগি।,(In the morning),[MASK] (In the morning) জাগি।,সাকালে,সকালে
B2,পাহাড়োত কামাই করিবার গেইছে।,(In the hills),[MASK] (In the hills) কামাই করিবার গেইছে।,পাহাড়োত,পাহাড়ে
B3,হামার তো ভালে হছে।,(Our),[MASK] (Our) তো ভালে হছে।,হামার,আমাদের
B4,বাপ বড়য় কষ্ট পাছে।,(Very),বাপ [MASK] (Very) কষ্ট পাছে।,বড়য়,বড়ই/খুব
B5,বুলিয়া ভাবিলে কি চলে।,(Because/Saying),[MASK] (Because) ভাবিলে কি চলে।,বুলিয়া,বলে
B6,অইন্য পাখে মন দেন না।,(Other),[MASK] (Other) পাখে মন দেন না।,অইন্য,অন্য
B7,বাপ মার কাথা বোদায় ভাবা না যায়?,(Probably/Maybe),বাপ মার কাথা [MASK] (Maybe) ভাবা না যায়?,বোদায়,বোধহয়
B8,মানষি হবার না পাইস।,(Human/Man),[MASK] (Human) হবার না পাইস।,মানষি,মানুষ
B9,মোক খীপ ভাল নাগিলেক।,(Me),[MASK] (Me) খীপ ভাল নাগিলেক।,মোক,আমাকে
B10,মোক খীপ ভাল নাগিলেক।,(Very),মোক [MASK] (Very) ভাল নাগিলেক।,খীপ,খুব
B11,মোর মাও স্বর্গের নাখান।,(My),[MASK] (My) মাও স্বর্গের নাখান।,মোর,আমার
B12,মোর মাও স্বর্গের নাখান।,(Mother),মোর [MASK] (Mother) স্বর্গের নাখান।,মাও,মা
B13,বাউকচা বাড়িখানোত পকির গান।,(Crooked/Left),[MASK] (Left-side) বাড়িখানোত পকির গান।,বাউকচা,বাঁকা
B14,বাউকচা বাড়িখানোত পকির গান।,(Bird's),বাউকচা বাড়িখানোত [MASK] (Bird's) গান।,পকির,পাখির
B15,একেকটা পখির একেক রকম গালার গান।,(Voice/Throat),একেকটা পখির একেক রকম [MASK] (Throat) গান।,গালার,গলার
B16,মনটা কছে সারাদিন এটে কোনায় থাকোং।,(Here),মনটা কছে সারাদিন [MASK] (Here) কোনায় থাকোং।,এটে,এখানে
B17,গছ নিমন্তন করে বুলি তো পোকালা আইসে।,(Insects),গছ নিমন্তন করে বুলি তো [MASK] (Insects) আইসে।,পোকালা,পোকারা
B18,শগুনলাকো এলা দেখা যায়না।,(Now),শগুনলাকো [MASK] (Now) দেখা যায়না।,এলা,এখন
B19,কি নলনলা ঢাঙা ঠ্যাং।,(Thin/Lean),কি [MASK] (Thin) ঢাঙা ঠ্যাং।,নলনলা,লিকলিকে
B20,কি নলনলা ঢাঙা ঠ্যাং।,(Long/Tall),কি নলনলা [MASK] (Long) ঠ্যাং।,ঢাঙা,লম্বা
B21,পয়াল লাও কমি গেইছে।,(Animals/Cattle),[MASK] (Animals) লাও কমি গেইছে।,পয়াল,পশু
B22,গছ কাটি ধুয়া করিছে।,(Destroyed/Finished),গছ কাটি [MASK] (Destroyed) করিছে।,ধুয়া,শেষ/ধ্বংস
B23,এইল্যা কাথা সমাজের মানষিক।,(These),[MASK] (These) কাথা সমাজের মানষিক।,এইল্যা,এইগুলো
B24,মুই নিনের ঝোকত ভাবিনু।,(Sleep's),মুই [MASK] (Sleep's) ঝোকত ভাবিনু।,নিনের,ঘুমের
B25,পাছোত বুঝিনু সাংঘাতিক কাজের কাথা।,(Later/After),[MASK] (Later) বুঝিনু সাংঘাতিক কাজের কাথা।,পাছোত,পরে
B26,মুই সংসারটা চলাং।,(Run/Manage),মুই সংসারটা [MASK] (Run)।,চলাং,চালাই
B27,হোটা না হয়!,(That),[MASK] (That) না হয়!,হোটা,ওটা
B28,বায়বাতাসোক অপাতে পেটায়ছে।,(Environment/Air),[MASK] (Environment) অপাতে পেটায়ছে।,বায়বাতাসোক,আবহাওয়াকে
B29,দিগিলা সলসলা ফর্সা।,(Like/Similar),[MASK] (Like) সলসলা ফর্সা।,দিগিলা,দিক/মত
B30,নীলকান্ত শরীল টা যে মোর।,(Body),নীলকান্ত [MASK] (Body) টা যে মোর।,শরীল,শরীর
B31,ছাওয়ালাক বই পড়েবার বাদে।,(Children/Sons),[MASK] (Children) বই পড়েবার বাদে।,ছাওয়ালাক,ছেলেদের
B32,ছাওয়ালাক বই পড়েবার বাদে।,(Reading/To read),ছাওয়ালাক বই [MASK] (To read) বাদে।,পড়েবার,পড়ার
B33,বাপ ভিন দেশ গেইছে।,(Father),[MASK] (Father) ভিন দেশ গেইছে।,বাপ,বাবা
B34,দোনোটা ব্যাটায় সাইন্স নিয়া পড়ে।,(Both),[MASK] (Both) ব্যাটায় সাইন্স নিয়া পড়ে।,দোনোটা,দুজনেই
B35,বাপের আদর পাসুরিবার না পায়।,(Forget),বাপের আদর [MASK] (Forget) না পায়।,পাসুরিবার,ভুলবার
B36,ফির অনুভব করে।,(Feel),ফির [MASK] (Feel) করে।,অনুভব,অনুভব (Same)
B37,ছিনেহ করে বুলিয়ায়।,(Affection/Love),[MASK] (Affection) করে বুলিয়ায়।,ছিনেহ,স্নেহ
B38,এই কাথালা ব্যাগ্রাউন্ড থাকি কবার নাগিবে।,(Words/Talks),এই [MASK] (Words) ব্যাগ্রাউন্ড থাকি কবার নাগিবে।,কাথালা,কথাগুলো
B39,মাওয়াতি।,(Motherless/Orphaned),মানষি করে [MASK] (Motherless)।,মাওয়াতি,মাতৃহারা
B40,নদীনালা পাড় হয়া।,(Crossing),নদীনালা [MASK] (Crossing) হয়া।,পাড়,পার
B41,কিন্তুক বাপ বড়য় কষ্ট পাছে।,(Suffering/Pain),কিন্তুক বাপ বড়য় [MASK] (Pain) পাছে।,কষ্ট,কষ্ট (Same)
B42,হুল্লা ভাবিলে কি চলে বাবা।,(Those),[MASK] (Those) ভাবিলে কি চলে বাবা।,হুল্লা,ওসব
B43,অইন্য পাখে মন দেন না।,(Other),[MASK] (Other) পাখে মন দেন না।,অইন্য,অন্য
B44,দরকাল্।,(Need/Necessary),ধ্যান জ্ঞান হওয়া [MASK] (Necessary)।,দরকাল্,দরকার
B45,অইন্যক ক্যাংকরি মানষি করিবু রে।,(How),অইন্যক [MASK] (How) মানষি করিবু রে।,ক্যাংকরি,কি করে/কেমন করে
B46,হ্যাঁ মা মুই তোর কাথায় শুনিম।,(Will listen),হ্যাঁ মা মুই তোর কাথায় [MASK] (Will listen)।,শুনিম,শুনব
B47,এই ভাল্ নাগা চিরকাল থাকিবে।,(Forever),এই ভাল্ নাগা [MASK] (Forever) থাকিবে।,চিরকাল,চিরকাল (Same)
B48,মোর মাও মোরঠে দ্যাব দেবীর নাখান।,(To me/Near me),মোর মাও [MASK] (To me) দ্যাব দেবীর নাখান।,মোরঠে,আমার কাছে
B49,বারান্দা হাতে উঠিবার মনায়ছে না মা।,(From),বারান্দা [MASK] (From) উঠিবার মনায়ছে না মা।,হাতে,থেকে
B50,কতগুলা মানষির তানে।,(Some/Many),[MASK] (Some) মানষির তানে।,কতগুলা,কতগুলো
B51,গছ নিমন্তন করে বুলি।,(Tree),[MASK] (Tree) নিমন্তন করে বুলি।,গছ,গাছ
B52,বিষ খায়া পখিলাও মরে।,(Poison),[MASK] (Poison) খায়া পখিলাও মরে।,বিষ,বিষ (Same)
B53,বালি হাঁসলাও চখুত পড়ে না।,(Sand/Wild Duck),[MASK] (Sand) হাঁসলাও চখুত পড়ে না।,বালি,বালি (Same)
B54,জন্তু জানোয়ারলাও কমি গেইছে।,(Animals),জন্তু [MASK] (Animals) কমি গেইছে।,জানোয়ারলাও,জানোয়াররা
B55,হামার দেশের উন্নতি হইবে।,(Progress),হামার দেশের [MASK] (Progress) হইবে।,উন্নতি,উন্নতি (Same)
B56,মাও র মন্তরত হামার মনের।,(Mantra/Words),মাও র [MASK] (Mantra) হামার মনের।,মন্তরত,মন্ত্রে
B57,সাকালের খাবার জোগাড় হয়া আছে।,(Morning's),[MASK] (Morning's) খাবার জোগাড় হয়া আছে।,সাকালের,সকালের
B58,টাকা পাইসা ভালে পেটায়।,(Earns),টাকা পাইসা ভালে [MASK] (Earns)।,পেটায়,কামায়/পায়
B59,ফারাসের গছ কাটে।,(Forest),[MASK] (Forest) গছ কাটে।,ফারাসের,বনের/জঙ্গলের
B60,বেটালা বিদ্যাশ খাটি টাকা পেটায়।,(Sons),[MASK] (Sons) বিদ্যাশ খাটি টাকা পেটায়।,বেটালা,ছেলেরা
B61,জ্বালা।,(Trouble/Pain),মোর আর কিসের [MASK] (Trouble)।,জ্বালা,জ্বালা (Same)
B62,ধূয়া করির ধরিছি।,(Destroying/Cleaning),ফারাসের গছলা [MASK] (Destroying) করির ধরিছি।,ধূয়া,ধুলিস্যাৎ/ধ্বংস
B63,আরে ফেলাও তোর সংসার টংসার।,(Throw away/Drop),আরে [MASK] (Throw away) তোর সংসার টংসার।,ফেলাও,ফেল
B64,জারুল বাগানোত ভাং খায়ায়।,(Jarul Tree),[MASK] (Jarul Tree) বাগানোত ভাং খায়ায়।,জারুল,জারুল (Same)
B65,কায়োয় ডিষ্টাব না করে।,(Anyone),বাগানোত হামাক [MASK] (Anyone) ডিষ্টাব না করে।,কায়োয়,কেউ
B66,দুনিয়া।,(World),ঠিকে ঠিকে দুই দিনকার [MASK] (World)।,দুনিয়া,দুনিয়া (Same)
B67,দম নিবার গোনে।,(Breath),মানষিলার অবসর সমাই [MASK] (Breath) নিবার গোনে।,দম,দম (Same)
B68,একটা দালান কোটা বানে দিছে।,(Building),একটা [MASK] (Building) কোটা বানে দিছে।,দালান,দালান (Same)
B69,খীপ ঢক করি বানে দিছে।,(Very),[MASK] (Very) ঢক করি বানে দিছে।,খীপ,খুব
B70,খীপ ঢক করি বানে দিছে।,(Style/Beautifully),খীপ [MASK] (Style) করি বানে দিছে।,ঢক,ঢং/সুন্দর
B71,বয়স্ক মানষিলা বোলে ওটে হাওয়া খায়।,(Old/Elderly),[MASK] (Elderly) মানষিলা বোলে ওটে হাওয়া খায়।,বয়স্ক,বয়স্ক (Same)
B72,তাংকু ভাং খাওয়া না যায়।,(Tobacco),ওটে বোলে [MASK] (Tobacco) ভাং খাওয়া না যায়।,তাংকু,তামাক
B73,দুপুর রাতিত উটিয়া মুই ভালে নাচোং।,(Night),দুপুর [MASK] (Night) উটিয়া মুই ভালে নাচোং।,রাতিত,রাতে
B74,ফাউকশালি কিচ্চা।,(Useless/False),উমার খালি নাই [MASK] (Useless) কিচ্চা।,ফাউকশালি,ফালতু
B75,কিত্তী রে।,(Deeds/Acts),দূনিয়াটাত কত মোতন [MASK] (Deeds) রে।,কিত্তী,কীর্তি
B76,সামাইন্য মানষি।,(Ordinary/Simple),মুই একটা [MASK] (Ordinary) মানষি।,সামাইন্য,সামান্য
B77,তোমারটে আসিনু।,(To you),মুই [MASK] (To you) আসিনু।,তোমারটে,তোমার কাছে
B78,কবার তানে।,(To say),কয়টা কাথা [MASK] (To say) তানে।,কবার,বলার
B79,তানে।,(For/Reason),কয়টা কাথা কবার [MASK] (For)।,তানে,জন্য/কারণে
B80,টপকরি ক।,(Quickly/Promptly),ক্যানে [MASK] (Quickly) ক।,টপকরি,চট করে/তাড়াতাড়ি
B81,তোর হিল্লা জ্ঞান।,(Useless/Cheap),তোর [MASK] (Cheap) জ্ঞান।,হিল্লা,সস্তা/ফালতু
B82,তোর পরি পাওয়া গ্যান।,(Fallen/Found),তোর [MASK] (Found) পাওয়া গ্যান।,পরি,কুড়িয়ে
B83,মাশান গান।,(Mashan - Folk Song),"উত্তরের সাইটোর গান, [MASK] (Mashan) গান।",মাশান,মাশান (Same)
B84,বিষহরা গান।,(Bishohora - Folk Song),[MASK] (Bishohora) গান আরও কত আলোচনা।,বিষহরা,বিষহরা (Same)
B85,ধামাধিম চলি যা এটে থাকি।,(Quickly/Directly),তুই [MASK] (Quickly) চলি যা এটে থাকি।,ধামাধিম,ধুমধাম/তাড়াতাড়ি
B86,বিরক্ত নাগাছিস।,(Annoying),খালি ক্যানে [MASK] (Annoying) নাগাছিস।,বিরক্ত,বিরক্ত (Same)
B87,ত্যাঙো মোর আবদার।,(Request),ত্যাঙো মোর [MASK] (Request)।,আবদার,আবদার (Same)
B88,একেনা মন দিয়া ভাবেন।,(A little),মোর কাথালা [MASK] (A little) মন দিয়া ভাবেন।,একেনা,একটু
B89,চওরে উনার জ্ঞানটা।,(Slap),এক [MASK] (Slap) উনার জ্ঞানটা।,চওরে,চড়ে
B90,শাখা সেঁন্দুর পিন্দিয়া।,(Bangles),[MASK] (Bangles) সেঁন্দুর পিন্দিয়া।,শাখা,শাখা (Same)
B91,ভিন দেশত যাওয়া।,(Foreign/Other),উমার [MASK] (Other) দেশত যাওয়া।,ভিন,ভিন (Same)
B92,ভজি ক্যামন আছেন?,(Sister-in-law),আরে [MASK] (Sister-in-law) ক্যামন আছেন?,ভজি,বৌদি
B93,একেনা খোঁজ খবর নিবার উপায় নাই।,(News/Info),একেনা [MASK] (News) খবর নিবার উপায় নাই।,খোঁজ,খোঁজ (Same)
B94,দাদা মোক কইচে।,(Said),দাদা মোক [MASK] (Said)।,কইচে,বলেছে
B95,ভাইজতা দুইটা বোলে সাইন্সে পড়ে।,(Nephews),[MASK] (Nephews) দুইটা বোলে সাইন্সে পড়ে।,ভাইজতা,ভাইপোরা
B96,বায়ারাতে নবে।,(Advance/Deposit),ঐ জইন্যে কয় মাস [MASK] (Advance) নবে।,বায়ারাতে,বায়না
B97,তাল সামাল দিয়ায় চলিবার নাগে।,(Rhythm/Balance),[MASK] (Balance) সামাল দিয়ায় চলিবার নাগে।,তাল,তাল (Same)
B98,দেশান্তরি হয়া চলি যায় নাই।,(Exiled/Emigrant),দাদা তো আর [MASK] (Emigrant) হয়া চলি যায় নাই।,দেশান্তরি,দেশান্তরী (Same)
B99,বগলের ভাঙি লোকটার।,(Nearby/Neighbor),হামার বাড়ির [MASK] (Nearby) ভাঙি লোকটার।,বগলের,পাশের
B100,শোধন না হয়।,(Rectified),ঐ মানষিলা যদি [MASK] (Rectified) না হয়।,শোধন,শোধরানো