ID,Kamtapuri Sentence,Masked Prompt,Target
A1,তোমরা ক্যাং করি কামটা করিলু?,তোমরা [MASK] করি কামটা করিলু?,ক্যাং
A2,অত জ্ঞান তুই হামাক দিস না। এত কাথা আর হামাক ভাল্ নাগেছে না।,অত জ্ঞান তুই হামাক দিস না। এত কাথা আর হামাক ভাল্ [MASK] না।,নাগেছে
A3,ছাওয়ালাক বই পড়েবার বাদে বাপ ভিন দেশ গেইছে।,ছাওয়ালাক বই [MASK] বাদে বাপ ভিন দেশ গেইছে।,পড়েবার
A4,তুই ঠিকে কছিস মা।,তুই ঠিকে [MASK] মা।,কছিস
A5,শরীল টা যে মোর আর ভালে না নয় রে।,শরীল টা যে মোর আর [MASK] না নয় রে।,ভালে
A6,"তোর মোত দিগিলা সলসলা ফর্সা, ঢকেশ্বরী চেংড়ি এ্যাংকরি দিন কাটাছিত।","তোর মোত দিগিলা সলসলা ফর্সা, ঢকেশ্বরী চেংড়ি এ্যাংকরি দিন [MASK]।",কাটাছিত
A7,মনটা কছে সারাদিন এটে কোনায় থাকোং।,মনটা কছে সারাদিন এটে কোনায় [MASK]।,থাকোং
A8,ছাত্র মানষির লেখা পড়াটায় ধ্যান জ্ঞান হওয়া দরকাল্।,ছাত্র মানষির লেখা পড়াটায় ধ্যান জ্ঞান হওয়া [MASK]।,দরকাল্
A9,আর কবার পামো না।,আর কবার [MASK] না।,পামো
A10,মুই তোর কাথায় শুনিম।,মুই তোর কাথায় [MASK],শুনিম
A11,মুই সংসারটা চলাং।,মুই সংসারটা [MASK]।,চলাং
A12,"মুই যাং, ত্যাঙো মোর আবদার।","মুই [MASK], ত্যাঙো মোর আবদার।",যাং
A13,হামরা ওটে যামো না।,হামরা ওটে [MASK] না।,যামো
A14,তুই কার কাথা কবার ধরিছিত?,তুই কার কাথা [MASK] ধরিছিত?,কবার
A15,হামরা কি খায়া বাঁচিমো।,হামরা কি খায়া [MASK]।,বাঁচিমো
A16,ইমাক মুই ক্ষমা করিম্ না।,ইমাক মুই ক্ষমা [MASK] না।,করিম্
A17,১২ বছর পর কলেজের বন্দুক খুঁজিয়া পানু।,১২ বছর পর কলেজের বন্দুক খুঁজিয়া [MASK]।,পানু
A18,ইয়ার নাখান ঢিলা মানষি মুই আর দেখং নাই।,ইয়ার নাখান ঢিলা মানষি মুই আর [MASK] নাই।,দেখং
A19,হাত ঠ্যাং মোর সোলসোলা নাগে।,হাত ঠ্যাং মোর সোলসোলা [MASK]।,নাগে
A20,এইল্লা কাথা হামরা শুনিমো না।,এইল্লা কাথা হামরা [MASK] না।,শুনিমো
A21,যদি নিজে মানষি হবার না পাইস তাহলে অইন্যক ক্যাংকরি মানষি করিবু রে।,যদি নিজে মানষি হবার না পাইস তাহলে অইন্যক ক্যাংকরি মানষি [MASK] রে।,করিবু
A22,"মুই ভাবিছিনু 'বিমানটায় বোদায় ঢিলা, এলা দেখং খলিল্টাও ভালে ঢিলা।","মুই ভাবিছিনু 'বিমানটায় বোদায় ঢিলা, এলা দেখং খলিল্টাও ভালে [MASK]।",ঢিলা
A23,মুই তো দাদার ওটে ছিলুং।,মুই তো দাদার ওটে [MASK]।,ছিলুং
A24,"উয়ায় তো মানষি নোয়ায়, উয়ায় বনুয়া জন্তু।","উয়ায় তো মানষি [MASK], উয়ায় বনুয়া জন্তু।",নোয়ায়
A25,শাল বাগানোত উয়ার কিত্তী দেখিয়া মুই টস খাচুং।,শাল বাগানোত উয়ার কিত্তী দেখিয়া মুই টস [MASK]।,খাচুং
A26,উয়ায় যদি একেনা পশ পায় তো সাড়া দূনিয়া ঢোল ফাঁটে দিবে।,উয়ায় যদি একেনা পশ পায় তো সাড়া দূনিয়া ঢোল [MASK] দিবে।,ফাঁটে
A27,"তোর সতে যদি তোর দাদার আরও দেখা হয়, মোর কথা কবু।","তোর সতে যদি তোর দাদার আরও দেখা হয়, মোর কথা [MASK]।",কবু
A28,তুই কার কাথা কবার ধরিছিত?,তুই কার কাথা কবার [MASK]?,ধরিছিত
A29,মুই তো দেখিবার ধরিছুং তুই একে নাখান আছিস।,মুই তো দেখিবার [MASK] তুই একে নাখান আছিস।,ধরিছুং
A30,বাপের আদর পাসুরিবার না পায়।,বাপের আদর [MASK] না পায়।,পাসুরিবার